"","domain","BA_hat","BA","sample_size","model"
"47003","C",37.4799456162794,37.3974311713912,"32","area_eblup"
"47004","D",57.6447089622306,57.3637802690845,"32","area_eblup"
"47005","E",59.93882870468,59.5110616250196,"32","area_eblup"
"47006","F",78.5719081049781,78.6226240069573,"32","area_eblup"
"47007","G",66.2439300910843,67.0435767712799,"32","area_eblup"
"47008","H",51.6979258617569,49.6500997828831,"32","area_eblup"
"47009","A",45.5549629387541,45.5597646993401,"32","area_eblup"
"47010","B",65.5083374229187,65.1658741408031,"32","area_eblup"
"47011","C",36.054555781693,37.3974311713912,"32","area_eblup"
"47012","D",57.6724424793821,57.3637802690845,"32","area_eblup"
"47013","E",60.1991436380858,59.5110616250196,"32","area_eblup"
"47014","F",77.639387307466,78.6226240069573,"32","area_eblup"
"47015","G",65.3160474135093,67.0435767712799,"32","area_eblup"
"47016","H",51.3329964132108,49.6500997828831,"32","area_eblup"
"47017","A",44.3220028807268,45.5597646993401,"32","area_eblup"
"47018","B",65.6013332645129,65.1658741408031,"32","area_eblup"
"47019","C",37.447579150353,37.3974311713912,"32","area_eblup"
"47020","D",58.3512215595874,57.3637802690845,"32","area_eblup"
"47021","E",59.8130707826683,59.5110616250196,"32","area_eblup"
"47022","F",79.8638231363716,78.6226240069573,"32","area_eblup"
"47023","G",67.4582475333349,67.0435767712799,"32","area_eblup"
"47024","H",49.6617609983309,49.6500997828831,"32","area_eblup"
"47025","A",44.6389973488021,45.5597646993401,"32","area_eblup"
"47026","B",64.7511901646744,65.1658741408031,"32","area_eblup"
"47027","C",37.1862868246717,37.3974311713912,"32","area_eblup"
"47028","D",56.6877145350764,57.3637802690845,"32","area_eblup"
"47029","E",61.6035421693318,59.5110616250196,"32","area_eblup"
"47030","F",78.3989795496981,78.6226240069573,"32","area_eblup"
"47031","G",64.5322766371732,67.0435767712799,"32","area_eblup"
"47032","H",49.9242100628562,49.6500997828831,"32","area_eblup"
"47033","A",43.9871627164153,45.5597646993401,"32","area_eblup"
"47034","B",63.9715312212532,65.1658741408031,"32","area_eblup"
"47035","C",36.3771462580425,37.3974311713912,"32","area_eblup"
"47036","D",55.9402004535808,57.3637802690845,"32","area_eblup"
"47037","E",59.4904862227953,59.5110616250196,"32","area_eblup"
"47038","F",77.7573187316175,78.6226240069573,"32","area_eblup"
"47039","G",66.3718036193299,67.0435767712799,"32","area_eblup"
"47040","H",50.1403748342374,49.6500997828831,"32","area_eblup"
"47041","A",46.3842894594363,45.5597646993401,"32","area_eblup"
"47042","B",65.9663309341292,65.1658741408031,"32","area_eblup"
"47043","C",36.4470044226493,37.3974311713912,"32","area_eblup"
"47044","D",57.0897049733199,57.3637802690845,"32","area_eblup"
"47045","E",59.8480231926541,59.5110616250196,"32","area_eblup"
"47046","F",78.189466925687,78.6226240069573,"32","area_eblup"
"47047","G",64.9442426163329,67.0435767712799,"32","area_eblup"
"47048","H",51.9400700072422,49.6500997828831,"32","area_eblup"
"47049","A",45.5892339894648,45.5597646993401,"32","area_eblup"
"47050","B",64.1983187256481,65.1658741408031,"32","area_eblup"
"47051","C",36.95189696975,37.3974311713912,"32","area_eblup"
"47052","D",57.7952284744162,57.3637802690845,"32","area_eblup"
"47053","E",60.6747814184078,59.5110616250196,"32","area_eblup"
"47054","F",78.8588736877196,78.6226240069573,"32","area_eblup"
"47055","G",65.8168747510144,67.0435767712799,"32","area_eblup"
"47056","H",51.6596060747681,49.6500997828831,"32","area_eblup"
"47057","A",46.2459661520918,45.5597646993401,"32","area_eblup"
"47058","B",64.5824730381233,65.1658741408031,"32","area_eblup"
"47059","C",38.415155939775,37.3974311713912,"32","area_eblup"
"47060","D",56.7246784632536,57.3637802690845,"32","area_eblup"
"47061","E",60.9576326901037,59.5110616250196,"32","area_eblup"
"47062","F",77.9406464883528,78.6226240069573,"32","area_eblup"
"47063","G",66.3533325289771,67.0435767712799,"32","area_eblup"
"47064","H",48.7241351685964,49.6500997828831,"32","area_eblup"
"47065","A",46.6863725596732,45.5597646993401,"32","area_eblup"
"47066","B",63.9460690818523,65.1658741408031,"32","area_eblup"
"47067","C",36.6989007845757,37.3974311713912,"32","area_eblup"
"47068","D",57.780452542694,57.3637802690845,"32","area_eblup"
"47069","E",59.6964582379271,59.5110616250196,"32","area_eblup"
"47070","F",77.9965978522144,78.6226240069573,"32","area_eblup"
"47071","G",64.2114390206612,67.0435767712799,"32","area_eblup"
"47072","H",52.1931632958921,49.6500997828831,"32","area_eblup"
"47073","A",44.8639789441806,45.5597646993401,"32","area_eblup"
"47074","B",65.1992192079198,65.1658741408031,"32","area_eblup"
"47075","C",37.7135956845621,37.3974311713912,"32","area_eblup"
"47076","D",56.9671868301914,57.3637802690845,"32","area_eblup"
"47077","E",59.2180595349707,59.5110616250196,"32","area_eblup"
"47078","F",78.5909630238228,78.6226240069573,"32","area_eblup"
"47079","G",65.9529113138344,67.0435767712799,"32","area_eblup"
"47080","H",49.8287374054971,49.6500997828831,"32","area_eblup"
"47081","A",46.1147140732743,45.5597646993401,"32","area_eblup"
"47082","B",64.2202382966094,65.1658741408031,"32","area_eblup"
"47083","C",37.2663572471805,37.3974311713912,"32","area_eblup"
"47084","D",56.9299675162444,57.3637802690845,"32","area_eblup"
"47085","E",60.8484376517448,59.5110616250196,"32","area_eblup"
"47086","F",77.7601178680192,78.6226240069573,"32","area_eblup"
"47087","G",66.1126966933171,67.0435767712799,"32","area_eblup"
"47088","H",49.6253763875769,49.6500997828831,"32","area_eblup"
"47089","A",45.9929990034284,45.5597646993401,"32","area_eblup"
"47090","B",64.5266766730313,65.1658741408031,"32","area_eblup"
"47091","C",37.0224538862339,37.3974311713912,"32","area_eblup"
"47092","D",58.1261711335532,57.3637802690845,"32","area_eblup"
"47093","E",59.6393927699431,59.5110616250196,"32","area_eblup"
"47094","F",77.5910426468855,78.6226240069573,"32","area_eblup"
"47095","G",67.2440720305306,67.0435767712799,"32","area_eblup"
"47096","H",50.6286208017041,49.6500997828831,"32","area_eblup"
"47097","A",45.8728043614663,45.5597646993401,"32","area_eblup"
"47098","B",64.0725791596776,65.1658741408031,"32","area_eblup"
"47099","C",37.6502157094721,37.3974311713912,"32","area_eblup"
"47100","D",57.8023137887372,57.3637802690845,"32","area_eblup"
"47101","E",60.2862945070286,59.5110616250196,"32","area_eblup"
"47102","F",77.0657113308064,78.6226240069573,"32","area_eblup"
"47103","G",66.4395073488631,67.0435767712799,"32","area_eblup"
"47104","H",50.2188635745814,49.6500997828831,"32","area_eblup"
"47105","A",45.3058776022348,45.5597646993401,"32","area_eblup"
"47106","B",65.3857980557453,65.1658741408031,"32","area_eblup"
"47107","C",36.912972625604,37.3974311713912,"32","area_eblup"
"47108","D",56.3432569622684,57.3637802690845,"32","area_eblup"
"47109","E",59.3870046159686,59.5110616250196,"32","area_eblup"
"47110","F",76.8709913871653,78.6226240069573,"32","area_eblup"
"47111","G",65.8397545048453,67.0435767712799,"32","area_eblup"
"47112","H",50.6051647117394,49.6500997828831,"32","area_eblup"
"47113","A",44.756608853295,45.5597646993401,"32","area_eblup"
"47114","B",64.4758138107196,65.1658741408031,"32","area_eblup"
"47115","C",36.3607937249621,37.3974311713912,"32","area_eblup"
"47116","D",57.0647714243674,57.3637802690845,"32","area_eblup"
"47117","E",59.0121408000652,59.5110616250196,"32","area_eblup"
"47118","F",77.2471649279252,78.6226240069573,"32","area_eblup"
"47119","G",65.1700555050981,67.0435767712799,"32","area_eblup"
"47120","H",50.4031966638524,49.6500997828831,"32","area_eblup"
"47121","A",44.9158251159773,45.5597646993401,"32","area_eblup"
"47122","B",65.8074970783419,65.1658741408031,"32","area_eblup"
"47123","C",37.9350738653603,37.3974311713912,"32","area_eblup"
"47124","D",57.7805728808177,57.3637802690845,"32","area_eblup"
"47125","E",60.2112287944947,59.5110616250196,"32","area_eblup"
"47126","F",78.218363568596,78.6226240069573,"32","area_eblup"
"47127","G",65.1805000832193,67.0435767712799,"32","area_eblup"
"47128","H",49.7818138774595,49.6500997828831,"32","area_eblup"
"47129","A",45.0340098378916,45.5597646993401,"32","area_eblup"
"47130","B",63.3809338946617,65.1658741408031,"32","area_eblup"
"47131","C",36.5669428242836,37.3974311713912,"32","area_eblup"
"47132","D",57.8970583315389,57.3637802690845,"32","area_eblup"
"47133","E",58.9733862774728,59.5110616250196,"32","area_eblup"
"47134","F",77.9495074382682,78.6226240069573,"32","area_eblup"
"47135","G",67.951872626066,67.0435767712799,"32","area_eblup"
"47136","H",50.3024059056732,49.6500997828831,"32","area_eblup"
"47137","A",45.4064799791301,45.5597646993401,"32","area_eblup"
"47138","B",63.5700700504738,65.1658741408031,"32","area_eblup"
"47139","C",38.9766027335844,37.3974311713912,"32","area_eblup"
"47140","D",56.7677027949253,57.3637802690845,"32","area_eblup"
"47141","E",60.4807408988536,59.5110616250196,"32","area_eblup"
"47142","F",78.6108513146003,78.6226240069573,"32","area_eblup"
"47143","G",65.8443026103071,67.0435767712799,"32","area_eblup"
"47144","H",51.6535860694348,49.6500997828831,"32","area_eblup"
"47145","A",44.1339869541573,45.5597646993401,"32","area_eblup"
"47146","B",65.4453448827386,65.1658741408031,"32","area_eblup"
"47147","C",36.9445160190506,37.3974311713912,"32","area_eblup"
"47148","D",57.6437156656819,57.3637802690845,"32","area_eblup"
"47149","E",58.6299376788234,59.5110616250196,"32","area_eblup"
"47150","F",78.4275606279347,78.6226240069573,"32","area_eblup"
"47151","G",63.8226175458673,67.0435767712799,"32","area_eblup"
"47152","H",51.2072988076476,49.6500997828831,"32","area_eblup"
"47153","A",45.9872273913256,45.5597646993401,"32","area_eblup"
"47154","B",65.1337419515517,65.1658741408031,"32","area_eblup"
"47155","C",38.1431637141288,37.3974311713912,"32","area_eblup"
"47156","D",57.1795391746768,57.3637802690845,"32","area_eblup"
"47157","E",59.1570374196979,59.5110616250196,"32","area_eblup"
"47158","F",77.9803981085499,78.6226240069573,"32","area_eblup"
"47159","G",66.3586811483829,67.0435767712799,"32","area_eblup"
"47160","H",50.2986509956227,49.6500997828831,"32","area_eblup"
"47161","A",46.1958576776446,45.5597646993401,"32","area_eblup"
"47162","B",64.4296642543874,65.1658741408031,"32","area_eblup"
"47163","C",38.4544420905571,37.3974311713912,"32","area_eblup"
"47164","D",56.5565759660413,57.3637802690845,"32","area_eblup"
"47165","E",60.419173699901,59.5110616250196,"32","area_eblup"
"47166","F",78.7983817960388,78.6226240069573,"32","area_eblup"
"47167","G",65.1016825795459,67.0435767712799,"32","area_eblup"
"47168","H",50.3080210472903,49.6500997828831,"32","area_eblup"
"47169","A",45.4390622984262,45.5597646993401,"32","area_eblup"
"47170","B",66.1473244196535,65.1658741408031,"32","area_eblup"
"47171","C",37.6190460965609,37.3974311713912,"32","area_eblup"
"47172","D",56.359406318294,57.3637802690845,"32","area_eblup"
"47173","E",57.568062178071,59.5110616250196,"32","area_eblup"
"47174","F",78.5285857587933,78.6226240069573,"32","area_eblup"
"47175","G",64.6370276975551,67.0435767712799,"32","area_eblup"
"47176","H",50.770579726683,49.6500997828831,"32","area_eblup"
"47177","A",46.5077809995201,45.5597646993401,"32","area_eblup"
"47178","B",65.6094467819057,65.1658741408031,"32","area_eblup"
"47179","C",36.8669559050981,37.3974311713912,"32","area_eblup"
"47180","D",56.8407747113989,57.3637802690845,"32","area_eblup"
"47181","E",58.2248008987283,59.5110616250196,"32","area_eblup"
"47182","F",78.9543445330126,78.6226240069573,"32","area_eblup"
"47183","G",65.0079358373352,67.0435767712799,"32","area_eblup"
"47184","H",51.189372521699,49.6500997828831,"32","area_eblup"
"47185","A",45.3927936937596,45.5597646993401,"32","area_eblup"
"47186","B",65.854312750001,65.1658741408031,"32","area_eblup"
"47187","C",37.3139810840519,37.3974311713912,"32","area_eblup"
"47188","D",56.4734308556394,57.3637802690845,"32","area_eblup"
"47189","E",59.5526353415362,59.5110616250196,"32","area_eblup"
"47190","F",77.7705159004015,78.6226240069573,"32","area_eblup"
"47191","G",66.4612360342261,67.0435767712799,"32","area_eblup"
"47192","H",51.4213179933942,49.6500997828831,"32","area_eblup"
"47193","A",45.5036748374521,45.5597646993401,"32","area_eblup"
