"","domain","BA_hat","BA","model","sample_size"
"7818","M333Ab",115.129388267906,112.523482757723,"rf",30
"7819","M333Ac",75.0872394325282,72.0588242700207,"rf",30
"7820","M333Ad",118.899040169488,117.470592984026,"rf",30
"7821","M333Ae",71.8095284017898,68.4801681671984,"rf",30
"7822","M333Ag",81.6473212756832,81.2086165291663,"rf",30
"7823","M333Ah",35.9539563927816,37.3880839806109,"rf",30
"7824","M333Ai",39.2309671548897,37.3465107555587,"rf",30
"7825","M333Aa",77.8420103707002,79.4154082554791,"rf",30
"7826","M333Ab",110.147403795009,112.523482757723,"rf",30
"7827","M333Ac",73.3810251507786,72.0588242700207,"rf",30
"7828","M333Ad",116.184519644714,117.470592984026,"rf",30
"7829","M333Ae",65.9283863514396,68.4801681671984,"rf",30
"7830","M333Ag",73.262750156728,81.2086165291663,"rf",30
"7831","M333Ah",35.6845962936401,37.3880839806109,"rf",30
"7832","M333Ai",37.9653104987754,37.3465107555587,"rf",30
"7833","M333Aa",75.0470838048595,79.4154082554791,"rf",30
"7834","M333Ab",102.424237303723,112.523482757723,"rf",30
"7835","M333Ac",73.0249252617392,72.0588242700207,"rf",30
"7836","M333Ad",110.043748613284,117.470592984026,"rf",30
"7837","M333Ae",66.2146476478865,68.4801681671984,"rf",30
"7838","M333Ag",72.0903473537483,81.2086165291663,"rf",30
"7839","M333Ah",39.7082277146706,37.3880839806109,"rf",30
"7840","M333Ai",39.1875629735244,37.3465107555587,"rf",30
"7841","M333Aa",79.0882012755199,79.4154082554791,"rf",30
"7842","M333Ab",106.74251186664,112.523482757723,"rf",30
"7843","M333Ac",74.575844136405,72.0588242700207,"rf",30
"7844","M333Ad",117.927634628445,117.470592984026,"rf",30
"7845","M333Ae",68.4113477433923,68.4801681671984,"rf",30
"7846","M333Ag",76.4696449487301,81.2086165291663,"rf",30
"7847","M333Ah",34.6252532859938,37.3880839806109,"rf",30
"7848","M333Ai",38.0081724782248,37.3465107555587,"rf",30
"7849","M333Aa",80.4695289795587,79.4154082554791,"rf",30
"7850","M333Ab",114.729133279983,112.523482757723,"rf",30
"7851","M333Ac",78.2881578673059,72.0588242700207,"rf",30
"7852","M333Ad",121.073418962175,117.470592984026,"rf",30
"7853","M333Ae",70.0991793085526,68.4801681671984,"rf",30
"7854","M333Ag",77.8622711498268,81.2086165291663,"rf",30
"7855","M333Ah",33.757237366089,37.3880839806109,"rf",30
"7856","M333Ai",37.0853287642411,37.3465107555587,"rf",30
"7857","M333Aa",75.5055790324963,79.4154082554791,"rf",30
"7858","M333Ab",98.2037905315921,112.523482757723,"rf",30
"7859","M333Ac",75.4223593946658,72.0588242700207,"rf",30
"7860","M333Ad",109.675161594734,117.470592984026,"rf",30
"7861","M333Ae",68.2032163971648,68.4801681671984,"rf",30
"7862","M333Ag",76.9179508978533,81.2086165291663,"rf",30
"7863","M333Ah",35.393458792607,37.3880839806109,"rf",30
"7864","M333Ai",38.61328601557,37.3465107555587,"rf",30
"7865","M333Aa",83.4056272876093,79.4154082554791,"rf",30
"7866","M333Ab",115.032583681003,112.523482757723,"rf",30
"7867","M333Ac",75.9992387960111,72.0588242700207,"rf",30
"7868","M333Ad",125.53170026963,117.470592984026,"rf",30
"7869","M333Ae",71.5699157101624,68.4801681671984,"rf",30
"7870","M333Ag",80.05791537545,81.2086165291663,"rf",30
"7871","M333Ah",33.8029137994701,37.3880839806109,"rf",30
"7872","M333Ai",39.4754075028121,37.3465107555587,"rf",30
"7873","M333Aa",81.8436464525915,79.4154082554791,"rf",30
"7874","M333Ab",111.844223724771,112.523482757723,"rf",30
"7875","M333Ac",80.0407940851994,72.0588242700207,"rf",30
"7876","M333Ad",118.92547420048,117.470592984026,"rf",30
"7877","M333Ae",74.1704752008626,68.4801681671984,"rf",30
"7878","M333Ag",81.6474324462701,81.2086165291663,"rf",30
"7879","M333Ah",45.1532885592452,37.3880839806109,"rf",30
"7880","M333Ai",46.55732811734,37.3465107555587,"rf",30
"7881","M333Aa",85.1325150530219,79.4154082554791,"rf",30
"7882","M333Ab",117.792790788461,112.523482757723,"rf",30
"7883","M333Ac",78.0338467640333,72.0588242700207,"rf",30
"7884","M333Ad",120.821125875028,117.470592984026,"rf",30
"7885","M333Ae",75.1170114323018,68.4801681671984,"rf",30
"7886","M333Ag",83.7042831891763,81.2086165291663,"rf",30
"7887","M333Ah",41.4191572696011,37.3880839806109,"rf",30
"7888","M333Ai",45.1404853359135,37.3465107555587,"rf",30
"7889","M333Aa",83.4506521294329,79.4154082554791,"rf",30
"7890","M333Ab",119.326467900964,112.523482757723,"rf",30
"7891","M333Ac",74.1067064414773,72.0588242700207,"rf",30
"7892","M333Ad",121.300862212065,117.470592984026,"rf",30
"7893","M333Ae",71.2794188611217,68.4801681671984,"rf",30
"7894","M333Ag",80.677053578042,81.2086165291663,"rf",30
"7895","M333Ah",40.4273374645162,37.3880839806109,"rf",30
"7896","M333Ai",41.2777805450491,37.3465107555587,"rf",30
"7897","M333Aa",79.5160276075368,79.4154082554791,"rf",30
"7898","M333Ab",108.523641806597,112.523482757723,"rf",30
"7899","M333Ac",75.4310342116401,72.0588242700207,"rf",30
"7900","M333Ad",115.962479821934,117.470592984026,"rf",30
"7901","M333Ae",69.1956171708675,68.4801681671984,"rf",30
"7902","M333Ag",77.2984175346659,81.2086165291663,"rf",30
"7903","M333Ah",35.3898430319288,37.3880839806109,"rf",30
"7904","M333Ai",38.5574075160451,37.3465107555587,"rf",30
"7905","M333Aa",79.389346561131,79.4154082554791,"rf",30
"7906","M333Ab",111.984384188259,112.523482757723,"rf",30
"7907","M333Ac",71.5131666335716,72.0588242700207,"rf",30
"7908","M333Ad",115.628285672971,117.470592984026,"rf",30
"7909","M333Ae",68.0907381322775,68.4801681671984,"rf",30
"7910","M333Ag",76.0602508440269,81.2086165291663,"rf",30
"7911","M333Ah",38.2852591207258,37.3880839806109,"rf",30
"7912","M333Ai",40.1958680019961,37.3465107555587,"rf",30
"7913","M333Aa",81.0979968494449,79.4154082554791,"rf",30
"7914","M333Ab",113.977242077829,112.523482757723,"rf",30
"7915","M333Ac",76.4651403946804,72.0588242700207,"rf",30
"7916","M333Ad",116.863822762492,117.470592984026,"rf",30
"7917","M333Ae",70.5532559933616,68.4801681671984,"rf",30
"7918","M333Ag",78.3870875460504,81.2086165291663,"rf",30
"7919","M333Ah",39.0021150290519,37.3880839806109,"rf",30
"7920","M333Ai",41.4262680075734,37.3465107555587,"rf",30
"7921","M333Aa",76.5665610727248,79.4154082554791,"rf",30
"7922","M333Ab",107.86592701349,112.523482757723,"rf",30
"7923","M333Ac",74.4564938136816,72.0588242700207,"rf",30
"7924","M333Ad",110.861345622219,117.470592984026,"rf",30
"7925","M333Ae",69.4531939404177,68.4801681671984,"rf",30
"7926","M333Ag",77.8833553418648,81.2086165291663,"rf",30
"7927","M333Ah",36.604233951724,37.3880839806109,"rf",30
"7928","M333Ai",39.9549911360146,37.3465107555587,"rf",30
"7929","M333Aa",82.5268921772651,79.4154082554791,"rf",30
"7930","M333Ab",126.23868653319,112.523482757723,"rf",30
"7931","M333Ac",73.3020615532721,72.0588242700207,"rf",30
"7932","M333Ad",122.497722476635,117.470592984026,"rf",30
"7933","M333Ae",68.9623803992725,68.4801681671984,"rf",30
"7934","M333Ag",76.7613832574049,81.2086165291663,"rf",30
"7935","M333Ah",38.0113645491224,37.3880839806109,"rf",30
"7936","M333Ai",39.3539762717166,37.3465107555587,"rf",30
"7937","M333Aa",80.3526049724233,79.4154082554791,"rf",30
"7938","M333Ab",112.030478203518,112.523482757723,"rf",30
"7939","M333Ac",75.6464913990415,72.0588242700207,"rf",30
"7940","M333Ad",115.483647619974,117.470592984026,"rf",30
"7941","M333Ae",71.3421048279359,68.4801681671984,"rf",30
"7942","M333Ag",80.292007915878,81.2086165291663,"rf",30
"7943","M333Ah",39.1041204510554,37.3880839806109,"rf",30
"7944","M333Ai",41.70069056469,37.3465107555587,"rf",30
"7945","M333Aa",77.052826163071,79.4154082554791,"rf",30
"7946","M333Ab",110.0109344141,112.523482757723,"rf",30
"7947","M333Ac",70.1506305137835,72.0588242700207,"rf",30
"7948","M333Ad",108.553088242324,117.470592984026,"rf",30
"7949","M333Ae",67.7426256023147,68.4801681671984,"rf",30
"7950","M333Ag",75.3145350089073,81.2086165291663,"rf",30
"7951","M333Ah",34.338106893357,37.3880839806109,"rf",30
"7952","M333Ai",41.2318923637514,37.3465107555587,"rf",30
"7953","M333Aa",68.7507232142816,79.4154082554791,"rf",30
"7954","M333Ab",88.8095256581997,112.523482757723,"rf",30
"7955","M333Ac",67.7095861226052,72.0588242700207,"rf",30
"7956","M333Ad",97.3548484155071,117.470592984026,"rf",30
"7957","M333Ae",62.6731119997761,68.4801681671984,"rf",30
"7958","M333Ag",70.4244242347922,81.2086165291663,"rf",30
"7959","M333Ah",33.9879266678698,37.3880839806109,"rf",30
"7960","M333Ai",37.6134827093415,37.3465107555587,"rf",30
"7961","M333Aa",76.6166855222051,79.4154082554791,"rf",30
"7962","M333Ab",109.333168674314,112.523482757723,"rf",30
"7963","M333Ac",71.035453804009,72.0588242700207,"rf",30
"7964","M333Ad",111.027326861787,117.470592984026,"rf",30
"7965","M333Ae",67.462028825754,68.4801681671984,"rf",30
"7966","M333Ag",77.2833505922106,81.2086165291663,"rf",30
"7967","M333Ah",34.4247546500479,37.3880839806109,"rf",30
"7968","M333Ai",37.8686459096291,37.3465107555587,"rf",30
"7969","M333Aa",82.1838837996735,79.4154082554791,"rf",30
"7970","M333Ab",109.016243540103,112.523482757723,"rf",30
"7971","M333Ac",73.5340107767953,72.0588242700207,"rf",30
"7972","M333Ad",113.000393222268,117.470592984026,"rf",30
"7973","M333Ae",72.8595045646247,68.4801681671984,"rf",30
"7974","M333Ag",81.4286955884385,81.2086165291663,"rf",30
"7975","M333Ah",35.9770061801722,37.3880839806109,"rf",30
"7976","M333Ai",40.491837317679,37.3465107555587,"rf",30
"7977","M333Aa",80.4826592246689,79.4154082554791,"rf",30
"7978","M333Ab",109.730173563339,112.523482757723,"rf",30
"7979","M333Ac",74.9020383276693,72.0588242700207,"rf",30
"7980","M333Ad",118.162102084424,117.470592984026,"rf",30
"7981","M333Ae",69.7707067873919,68.4801681671984,"rf",30
"7982","M333Ag",81.0448975251405,81.2086165291663,"rf",30
"7983","M333Ah",36.8274636881597,37.3880839806109,"rf",30
"7984","M333Ai",39.2047947672993,37.3465107555587,"rf",30
"7985","M333Aa",79.493078223633,79.4154082554791,"rf",30
"7986","M333Ab",105.749881604724,112.523482757723,"rf",30
"7987","M333Ac",75.6771541300807,72.0588242700207,"rf",30
"7988","M333Ad",119.685651184856,117.470592984026,"rf",30
"7989","M333Ae",65.6855395666459,68.4801681671984,"rf",30
"7990","M333Ag",74.4437948952403,81.2086165291663,"rf",30
"7991","M333Ah",33.5620443223358,37.3880839806109,"rf",30
"7992","M333Ai",36.8764908831637,37.3465107555587,"rf",30
"7993","M333Aa",79.8335531907033,79.4154082554791,"rf",30
"7994","M333Ab",114.108004658843,112.523482757723,"rf",30
"7995","M333Ac",75.9640298166283,72.0588242700207,"rf",30
"7996","M333Ad",116.876818641354,117.470592984026,"rf",30
"7997","M333Ae",69.5145898317027,68.4801681671984,"rf",30
"7998","M333Ag",76.2458655706987,81.2086165291663,"rf",30
"7999","M333Ah",37.8471892794447,37.3880839806109,"rf",30
"8000","M333Ai",39.8743879390607,37.3465107555587,"rf",30
"8001","M333Aa",71.9783123881902,79.4154082554791,"rf",30
"8002","M333Ab",89.0289740685934,112.523482757723,"rf",30
"8003","M333Ac",71.9512349401639,72.0588242700207,"rf",30
"8004","M333Ad",98.7108263988487,117.470592984026,"rf",30
"8005","M333Ae",68.3423083672995,68.4801681671984,"rf",30
"8006","M333Ag",76.6200970769676,81.2086165291663,"rf",30
"8007","M333Ah",39.3191198270287,37.3880839806109,"rf",30
"8008","M333Ai",40.6419178939318,37.3465107555587,"rf",30
"8009","M333Aa",84.2678732626657,79.4154082554791,"rf",30
"8010","M333Ab",111.171367586058,112.523482757723,"rf",30
"8011","M333Ac",79.1894359922532,72.0588242700207,"rf",30
"8012","M333Ad",116.565609094138,117.470592984026,"rf",30
"8013","M333Ae",75.6456592821343,68.4801681671984,"rf",30
"8014","M333Ag",85.8130093045144,81.2086165291663,"rf",30
"8015","M333Ah",41.004769346769,37.3880839806109,"rf",30
"8016","M333Ai",43.4910692542799,37.3465107555587,"rf",30
"8017","M333Aa",86.77444202084,79.4154082554791,"rf",30
"8018","M333Ab",117.259098662952,112.523482757723,"rf",30
"8019","M333Ac",81.9764135977947,72.0588242700207,"rf",30
"8020","M333Ad",123.34235745985,117.470592984026,"rf",30
"8021","M333Ae",76.7531107640309,68.4801681671984,"rf",30
"8022","M333Ag",87.3695349329062,81.2086165291663,"rf",30
"8023","M333Ah",38.9941908635819,37.3880839806109,"rf",30
"8024","M333Ai",44.4747712228552,37.3465107555587,"rf",30
"8025","M333Aa",80.3477844680747,79.4154082554791,"rf",30
"8026","M333Ab",114.053701813334,112.523482757723,"rf",30
"8027","M333Ac",73.6035343171952,72.0588242700207,"rf",30
"8028","M333Ad",115.952790422032,117.470592984026,"rf",30
"8029","M333Ae",69.4878320842864,68.4801681671984,"rf",30
"8030","M333Ag",77.3048950150097,81.2086165291663,"rf",30
"8031","M333Ah",34.5796381043453,37.3880839806109,"rf",30
"8032","M333Ai",39.7033440707211,37.3465107555587,"rf",30
"8033","M333Aa",82.8430663178425,79.4154082554791,"rf",30
"8034","M333Ab",122.297509932875,112.523482757723,"rf",30
